event_name,block_number,txhash,log_index,timestamp,_balance,_blackListedUser,maxFee,newAddress,amount,_user,feeBasisPoints,contract_address,msg.sender
DestroyedBlackFunds,13462364,0x1f8c18e3136a46da2a0944cbd83b5cf2ef3f9fbaf0524360daa30aad723bb2c5,40,2021-10-21T17:28:01,157239000000.0,0x7b99FEA8F296fd21b4fC75aAC8aE602C247Fb7af,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
DestroyedBlackFunds,13462378,0xda70c268165af2c7281051590045ea853363f4f750825f343016626c3484d1c5,28,2021-10-21T17:30:53,376837970500.0,0x75954b2CcE7726B1aFbA2c1BC7724348e3DD1B87,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467870,0x31b302d7f45e3293052b40e3d754f63d6015ef410ae98623fa6553d734d6dd10,1,2021-10-22T14:12:04,,,,,,0x0f3B3AC549719e2d796c358A61Ea26fC12cA0C6D,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467873,0x3256332eb5ed3c3886a67de8db6d78ff0d8a9564fb7137f7abe9f3a470bf7878,40,2021-10-22T14:12:23,,,,,,0x63489F0a8493D84309589d75B791Da315e67d35B,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467875,0x25375fb40645c4ec12b2ec9b627a9e0f4d1690b3eb64030918ea3b65c3bd5851,26,2021-10-22T14:13:48,,,,,,0x68C132F3cC84d7871e3f2EB9dDBfdC8AfFf2A677,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467881,0x2067343b705a444b6732ef5f786a4eb96be0e6790f3bb56d0d95ecb464c94dce,1,2021-10-22T14:16:11,,,,,,0x6d4DF9f6f42C07b627c5AfDf01740ECD0a6FeD0D,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467887,0xb3ba79e2ce9f9c3d7b1975e4ff4873c993a3a60db398e6203d94d95dba04a8f1,68,2021-10-22T14:17:07,,,,,,0xC1Bec32be8a68346Ad9DaBBb0A67ce220d43997C,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467894,0x1976a8edab55fe92a57517be49bc747d7ad90fc28ddab35cafc2ea5fc142f6e4,53,2021-10-22T14:18:48,,,,,,0xD51CA0D0F7A73AE13F3baF955837c20c7D247F99,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467895,0xdbee3422ee542e6a9d71bace67a921e70099414edf2c12360dbca37e871a3869,52,2021-10-22T14:19:09,,,,,,0x3A20F163D40C046311D1f91D015bC65bCBfF671C,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467900,0x748544161584ac19abbc1c6b87de5c79f33cfd0c926899798fe4f6ebe00a59d6,36,2021-10-22T14:19:57,,,,,,0x4E73c5F93B3de80Cac4C3474039b313E2e8aE799,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467908,0x8db8b37c2363aacd10f0e1bbac153f1d688daa32fe2ce4010dc1c4a0fae9ad42,60,2021-10-22T14:21:33,,,,,,0xF2A03f9503E0d754Dfe8B93d962DB487D20C2178,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13467949,0x96469f20ab980499e558f9fbbe148faab9f7b4030d7a513c2dd89f02af3c5de0,22,2021-10-22T14:30:06,,,,,,0x8D411E049106ED724029649D455b12981c83dD38,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
AddedBlackList,13467953,0x56d387f05d5940e10c2942d065a724620fffd7d1e887aceccf32e161892c3dd6,87,2021-10-22T14:31:17,,,,,,0xb2e77a7370DfA7949bbc05F22beB1967f63Dd699,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
AddedBlackList,13467957,0xb287427e4ca8762cf8860df6d76ffe98bfd1f8012a7c80a8e3ffbcafa97b9035,22,2021-10-22T14:33:24,,,,,,0x9114de4Df6A8d2DeF725c6a40f5Fa9A8F4049fe5,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
AddedBlackList,13493293,0x3a9448be406c87573f5d35ede38af8731ca02114d8bb14b457652cc9a8e1df7c,32,2021-10-26T13:35:27,,,,,,0xA95662473F0BC4644DbcAfdabdec17922D042DEf,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13512006,0x7a5920c6e104a829a92621394a4b9991de2af3262f37e6a65e53096fb067e9c0,71,2021-10-29T12:13:24,,,,,,0x42D8568C56C44E070f51fF9D268b6388EF2f846D,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13512012,0x5e02d96b47c13f40253cb22ff96681b48a6c8ddfa5c04fe1366e889462760dfb,39,2021-10-29T12:14:59,,,,,,0x1097850B35dFeCD1B7e7CE9190aEba45c6c2b1E9,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13512015,0x3a9566c752e2f22189aad63371afb627ac8a3e9ad7908c1f98b117be6b29f7a9,45,2021-10-29T12:15:36,,,,,,0x6f2f58817dB62A31A0253495c7550444958daF17,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13512019,0x889b92b4e0c02a96d62fe2237e2f5363d93fd62ea4dae17bfda0635b0d3eafe3,49,2021-10-29T12:15:59,,,,,,0xa0e283a75e498FEcaE3A5bD0170D89B9FC26BCe8,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13512172,0xb034dfb2a8de767a3eba2f97efcd488aaf3aaf7a6083da64491a455220df8b80,52,2021-10-29T12:52:03,,,,,,0x1fe09d4483A1C48f5EAf316fc933def5824eAe82,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
Issue,13550826,0x24324c3e4fba433bed4851889f4e8161571b54cb049161c1165d1f908d5ba26e,117,2021-11-04T14:47:38,,,,,1000000000000000.0,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13550931,0x8efd504db5aa960682aeb1e69ecbdf121a8e6b1ab4f06a0de2720e7a15b3a6fb,78,2021-11-04T15:11:01,,,,,,0x56aC6Ba3a0DAC34CeeC4096A5db8Fd3739a967F3,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
